Date,Station,RH
2015-01-01T04:59:00,72410613728,024
2015-01-01T04:59:00,72410013733,024
2015-01-01T04:59:00,72308013737,024
2015-01-01T04:59:00,72401013740,024
2015-01-01T04:59:00,72411013741,024
2015-01-01T04:59:00,72405013743,024
2015-01-01T04:59:00,72402093739,024
2015-01-01T04:59:00,72403093738,024
2015-02-01T04:59:00,72410613728,024
2015-02-01T04:59:00,72410013733,024
2015-02-01T04:59:00,72308013737,024
2015-02-01T04:59:00,72401013740,024
2015-02-01T04:59:00,72411013741,024
2015-02-01T04:59:00,72405013743,024
2015-02-01T04:59:00,72402093739,024
2015-02-01T04:59:00,72403093738,024
2015-04-01T04:59:00,72410613728,024
2015-04-01T04:59:00,72410013733,024
2015-04-01T04:59:00,72308013737,024
2015-04-01T04:59:00,72401013740,024
2015-04-01T04:59:00,72411013741,024
2015-04-01T04:59:00,72405013743,024
2015-04-01T04:59:00,72402093739,024
2015-04-01T04:59:00,72403093738,024
2015-05-01T04:59:00,72410613728,024
2015-05-01T04:59:00,72410013733,024
2015-05-01T04:59:00,72308013737,024
2015-05-01T04:59:00,72401013740,024
2015-05-01T04:59:00,72411013741,024
2015-05-01T04:59:00,72405013743,024
2015-05-01T04:59:00,72402093739,024
2015-05-01T04:59:00,72403093738,024
2015-06-01T04:59:00,72410613728,024
2015-06-01T04:59:00,72410013733,024
2015-06-01T04:59:00,72308013737,024
2015-06-01T04:59:00,72401013740,024
2015-06-01T04:59:00,72411013741,024
2015-06-01T04:59:00,72405013743,024
2015-06-01T04:59:00,72402093739,024
2015-06-01T04:59:00,72403093738,024
2015-07-01T04:59:00,72410613728,024
2015-07-01T04:59:00,72410013733,024
2015-07-01T04:59:00,72308013737,024
2015-07-01T04:59:00,72401013740,024
2015-07-01T04:59:00,72411013741,024
2015-07-01T04:59:00,72405013743,024
2015-07-01T04:59:00,72402093739,024
2015-07-01T04:59:00,72403093738,024
2015-08-01T04:59:00,72410613728,024
2015-08-01T04:59:00,72410013733,024
2015-08-01T04:59:00,72308013737,024
2015-08-01T04:59:00,72401013740,024
2015-08-01T04:59:00,72411013741,024
2015-08-01T04:59:00,72405013743,024
2015-08-01T04:59:00,72402093739,024
2015-08-01T04:59:00,72403093738,024
2015-09-01T04:59:00,72410613728,024
2015-09-01T04:59:00,72410013733,024
2015-09-01T04:59:00,72308013737,024
2015-09-01T04:59:00,72401013740,024
2015-09-01T04:59:00,72411013741,024
2015-09-01T04:59:00,72405013743,024
2015-09-01T04:59:00,72402093739,024
2015-09-01T04:59:00,72403093738,024
